"Well";"Sample.Name";"Detector";"Task";"Ct";"StdDev.Ct";"Qty";"Mean.Qty";"StdDev.Qty";"Filtered";"Tm";"Rn";"User.Defined..2";"User.Defined..3"
"H3";"NTC";"18S";"Unknown";"32.1679";3,45;NA;NA;NA;"";73,1;NA;NA;NA
"H4";"NTC";"18S";"Unknown";"31.9729";3,45;NA;NA;NA;"";73,1;NA;NA;NA
"H5";"NTC";"18S";"Unknown";"31.4488";3,45;NA;NA;NA;"";78,7;NA;NA;NA
"H6";"NTC";"18S";"Unknown";"31.3745";3,45;NA;NA;NA;"";73,1;NA;NA;NA
"H7";"NTC";"18S";"Unknown";"31.2716";3,45;NA;NA;NA;"";73,1;NA;NA;NA
"H8";"NTC";"18S";"Unknown";"29.8952";3,45;NA;NA;NA;"";78,2;NA;NA;NA
"H9";"NTC";"18S";"Unknown";"31.5134";3,45;NA;NA;NA;"";72,8;NA;NA;NA
"H10";"";"18S";"Unknown";"14.6003";NA;NA;NA;NA;"";84,5;NA;NA;NA
"H11";"";"18S";"Unknown";"Undetermined";NA;NA;NA;NA;"";77,6;NA;NA;NA
"H12";"";"18S";"Unknown";"Undetermined";NA;NA;NA;NA;"";83,1;NA;NA;NA
